accountId,amount,bankTransactionCode,bookingDateTime,card,counterparty,creditDebitIndicator,merchant,status,transactionId,transactionInformation,transactionLocation,valueDateTime
acc-1909,"{'amount': '37636.11', 'currency': 'RUB'}",{'code': '01'},2025-11-08T23:27:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 1', 'category': 'online_retail', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5999', 'merchantId': 'merchant-online_retail-1361', 'name': 'Яндекс.Маркет'}",completed,tx-abank-00224038,Яндекс.Маркет - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-11-08T23:27:17.472711Z
acc-1909,"{'amount': '175949.42', 'currency': 'RUB'}",{'code': '02'},2025-11-08T18:43:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Credit,,completed,tx-abank-00224040,Доход от бизнеса,"{'city': 'Москва', 'country': 'RUS'}",2025-11-08T18:43:17.472711Z
acc-1909,"{'amount': '244979.21', 'currency': 'RUB'}",{'code': '02'},2025-11-08T13:35:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Credit,,completed,tx-abank-00224037,Доход от бизнеса,"{'city': 'Москва', 'country': 'RUS'}",2025-11-08T13:35:17.472711Z
acc-1909,"{'amount': '7527.08', 'currency': 'RUB'}",{'code': '01'},2025-11-08T13:04:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Садовая, д. 3', 'category': 'restaurant', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5812', 'merchantId': 'merchant-restaurant-0415', 'name': 'Якитория'}",completed,tx-abank-00224043,Якитория - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-11-08T13:04:17.472711Z
acc-1909,"{'amount': '54753.83', 'currency': 'RUB'}",{'code': '02'},2025-11-08T08:51:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Credit,,completed,tx-abank-00224042,Доход от бизнеса,"{'city': 'Москва', 'country': 'RUS'}",2025-11-08T08:51:17.472711Z
acc-1909,"{'amount': '243174.54', 'currency': 'RUB'}",{'code': '02'},2025-11-08T07:53:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Credit,,completed,tx-abank-00224041,Доход от бизнеса,"{'city': 'Москва', 'country': 'RUS'}",2025-11-08T07:53:17.472711Z
acc-1909,"{'amount': '1373.29', 'currency': 'RUB'}",{'code': '01'},2025-11-08T07:29:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 13', 'category': 'grocery', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5411', 'merchantId': 'merchant-grocery-0060', 'name': 'Магнит'}",completed,tx-abank-00224039,Магнит - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-11-08T07:29:17.472711Z
acc-1909,"{'amount': '203227.28', 'currency': 'RUB'}",{'code': '02'},2025-11-07T21:43:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Credit,,completed,tx-abank-00224030,Доход от бизнеса,"{'city': 'Москва', 'country': 'RUS'}",2025-11-07T21:43:17.472711Z
acc-1909,"{'amount': '6888.91', 'currency': 'RUB'}",{'code': '01'},2025-11-07T15:38:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Тверская, д. 4', 'category': 'restaurant', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5812', 'merchantId': 'merchant-restaurant-0331', 'name': 'Dodopizza'}",completed,tx-abank-00224035,Dodopizza - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-11-07T15:38:17.472711Z
acc-1909,"{'amount': '39934.33', 'currency': 'RUB'}",{'code': '01'},2025-11-06T17:41:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 1', 'category': 'online_retail', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5999', 'merchantId': 'merchant-online_retail-1361', 'name': 'Яндекс.Маркет'}",completed,tx-abank-00224032,Яндекс.Маркет - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-11-06T17:41:17.472711Z
acc-1909,"{'amount': '21021.32', 'currency': 'RUB'}",{'code': '01'},2025-11-06T17:22:17.472711Z,"{'cardId': 'card-abank-001909', 'cardName': 'МИР Debit', 'cardNumber': '****6236', 'cardType': 'debit'}",,Debit,"{'address': 'Москва, ул. Арбат, д. 1', 'category': 'online_retail', 'city': 'Москва', 'country': 'RUS', 'mccCode': '5999', 'merchantId': 'merchant-online_retail-1360', 'name': 'Wildberries'}",completed,tx-abank-00224033,Wildberries - Москва,"{'city': 'Москва', 'country': 'RUS'}",2025-11-06T17:22:17.472711Z
